SKU;Название товара;Категория;Цена, RUB;URL изображения 1;URL изображения 2;Описание
TST001;Тестовый Гаджет X1;Электроника;1499.00;http://test-images.com/img/tst001.jpg;http://test-images.com/img/tst001_b.jpg;Портативное устройство с высоким разрешением.
TST002;Набор чашек "Рассвет";Посуда;850.50;http://test-images.com/img/tst002.jpg;;Комплект из 6 керамических чашек.
TST003;Футболка "Классика" S;Одежда;599.00;http://test-images.com/img/tst003.jpg;http://test-images.com/img/tst003_b.jpg;Универсальная футболка. Размер S.
TST004;Книга "Загадка Вселенной";Книги;350.00;http://test-images.com/img/tst004.jpg;;Научно-популярное издание.
TST005;Лампа настольная LED;Свет;1990.00;http://test-images.com/img/tst005.jpg;http://test-images.com/img/tst005_b.jpg;Гибкая лампа с тремя режимами яркости.
TST006;Спортивный коврик (Зеленый);Спорт;1250.00;http://test-images.com/img/tst006.jpg;;Нескользящая поверхность, 5 мм.
TST007;Чехол для смартфона (Черный);Аксессуары;499.00;http://test-images.com/img/tst007.jpg;;Противоударный чехол.
TST008;Набор фломастеров (12 цв.);Канцтовары;210.00;http://test-images.com/img/tst008.jpg;;Яркие цвета, нетоксичные чернила.
TST009;Плед флисовый 150х200;Текстиль;1100.00;http://test-images.com/img/tst009.jpg;http://test-images.com/img/tst009_b.jpg;Мягкий и теплый.
TST010;Кофе в зернах "Арабика";Продукты;799.00;http://test-images.com/img/tst010.jpg;;100% Арабика, 250 гр.
TST011;Наушники беспроводные P5;Электроника;3500.00;http://test-images.com/img/tst011.jpg;http://test-images.com/img/tst011_b.jpg;Отличное качество звука, до 8 часов работы.
TST012;Подушка ортопедическая;Дом;1890.00;http://test-images.com/img/tst012.jpg;;Для комфортного сна и поддержки шеи.
TST013;Джинсы Slim Fit (M);Одежда;2990.00;http://test-images.com/img/tst013.jpg;http://test-images.com/img/tst013_b.jpg;Классическая модель, размер M.
TST014;Набор акварельных красок;Творчество;670.00;http://test-images.com/img/tst014.jpg;;24 ярких цвета, профессиональная серия.
TST015;Увлажнитель воздуха "Туман";Климат;2450.00;http://test-images.com/img/tst015.jpg;http://test-images.com/img/tst015_b.jpg;Бесшумная работа, 3 режима интенсивности.
TST016;Гантели 2 кг (пара);Спорт;1199.00;http://test-images.com/img/tst016.jpg;;Виниловое покрытие, для домашних тренировок.
TST017;Кабель USB-C 2м;Аксессуары;350.00;http://test-images.com/img/tst017.jpg;;Быстрая зарядка и передача данных.
TST018;Блокнот A5 в точку;Канцтовары;180.00;http://test-images.com/img/tst018.jpg;;160 страниц, твердая обложка.
TST019;Полотенце банное (Белое);Текстиль;950.00;http://test-images.com/img/tst019.jpg;;100% хлопок, 70х140 см.
TST020;Чай зеленый листовой;Продукты;420.00;http://test-images.com/img/tst020.jpg;;Крупный лист, 150 гр.
TST021;Фитнес-браслет Pro;Электроника;2100.00;http://test-images.com/img/tst021.jpg;http://test-images.com/img/tst021_b.jpg;Счетчик шагов и пульса.
TST022;Ваза для цветов "Кристалл";Посуда;1550.00;http://test-images.com/img/tst022.jpg;;Элегантный дизайн, высота 25 см.
TST023;Свитшот с принтом (L);Одежда;1790.00;http://test-images.com/img/tst023.jpg;;Мягкий флис, размер L.
TST024;Настольная игра "Стратег";Игры;1390.00;http://test-images.com/img/tst024.jpg;;Для компании от 2 до 4 человек.
TST025;Электрический чайник 1.7л;Техника;2300.00;http://test-images.com/img/tst025.jpg;http://test-images.com/img/tst025_b.jpg;Автоотключение, корпус из нержавеющей стали.
TST026;Резинка для фитнеса (набор);Спорт;450.00;http://test-images.com/img/tst026.jpg;;3 уровня сопротивления.
TST027;Внешний аккумулятор 10000;Электроника;1550.00;http://test-images.com/img/tst027.jpg;;Компактный дизайн, быстрая зарядка.
TST028;Папка-конверт на кнопке;Канцтовары;50.00;http://test-images.com/img/tst028.jpg;;Формат А4, пластик.
TST029;Скатерть праздничная;Дом;890.00;http://test-images.com/img/tst029.jpg;;Размер 140х220 см.
TST030;Соус "Песто" (базилик);Продукты;310.00;http://test-images.com/img/tst030.jpg;;Стеклянная банка, 180 гр.
TST031;Беспроводная мышь Optic;Электроника;699.00;http://test-images.com/img/tst031.jpg;;Эргономичный дизайн, до 10м радиус.
